code,institution,course,prog_oo,soft_arch,web_tech,db_systems,sw_project_mgmt,requirements,agile_methods,llm_usage,experience,positive_llm,negative_llm,positive_nollm,negative_nollm,example_positive,example_negative,llm_influence,general,link
P001,UFVJM,Graduação,3,3,3,3,3,3,3,3,Até 1 ano de experiência,"Rapidez e eficiência, estruturação clara e padronizada, facilidade de iteração e adaptação.","Falta de contexto profundo do domínio, respostas podem ser genéricas ou superficiais, dependência excessiva de uma ferramenta externa.","Total controle e personalização do conteúdo, compreensão completa do contexto, maior precisão e especificidade nas respostas.","Mais tempo gasto na criação de conteúdo, potencial para inconsistências ou erros humanos.","Pergunta: ""Como posso criar uma API REST em Django?""
Resposta: ""Você pode usar o Django REST Framework para criar views, serializers e configurar URLs para expor seus modelos como API.""","Pergunta: ""Qual o código para tudo funcionar?""
Resposta: ""O código depende dos requisitos específicos do seu projeto. É importante especificar mais detalhes.""","Facilita a compreensão de conceitos e acelera a resolução de dúvidas, pode fornecer explicações de forma acessível, mas também pode limitar a aprendizagem prática.","O uso de LLM pode ser uma ferramenta poderosa para agilizar o desenvolvimento e aprendizado, mas sempre deve ser combinado com a prática e entendimento profundo.",https://chatgpt.com/c/67fef557-1d68-8002-89df-96386ad70962
P002,UFVJM,Graduação,3,3,3,3,2,3,3,3,Até 1 ano de experiência,Rapidez e maior facilidade para desenvolvimento de ideias na resolução da tarefa,"Menor aprendizagem, pois de certa forma a pessoa se apoia no uso da LLM e acaba pensando menos sobre a atividade","Maior aprendizado, pois precisa de um nível maior de atenção e compreensão para realizar a tarefa",Maior tempo para resolução.,Ele me deu uma grande ideia sobre o tema e fez o templates de maneira simples e correta,"Na primeira vez que perguntei, ele fez um template diferente do enviado.","Pode influenciar positivamente ou negativamente, positivamente pois ajuda na resolução de problemas com mais facilidade e negativamente se a pessoa se escorar no LLM e não buscar aprender",,https://chatgpt.com/share/67fefe45-7f44-8011-a4a6-e335d2ab77d8
P003,UFVJM,Graduação,1,2,4,4,2,2,3,4,"Não, nunca trabalhei em uma empresa de desenvolvimento de software",Economia de tempo com tarefas repetitivas. Obtenção de inspiração em atividades que exijam criatividade.,Dependência de LLMs. Respostas genéricas,Aprendizado maior. Respostas possivelmente mais criativas,Mais tempo ocupado. Respostas ás vezes não tão elaboradas e com erros de ortografia,"Um exemplo de uma prompt positiva seria: ""Me fale o processo para a obtenção de derivada para uma função logaritmica""","Um exemplo de uma prompt negativa seria: ""Calcule e gere a derivada da função ln(sen(x^2))""",O LLM pode influenciar o aprendizado,"Vejo as LLM como boas para o aprendizado desde que elas sejam utilizadas de maneira apropriada: tentar resolver antes de perguntar algo á LLM, ter uma postura critica com relação ao que a LLM gera, pedir exemplos e o processo de resolução ao invés da resposta para um problema em si.",https://chatgpt.com/share/67fefda8-aeb8-8007-a928-5ff3f8445ed9
P004,UFVJM,Graduação,3,3,3,3,2,3,3,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Facilidade maior em resolver os problemas, economizar tempo e ter um pensamento mais amplo","Que você não se esforça o bastante para resolver os problemas, o que pode acabar te limitado para outros projetos, sem a utilização dela",Conseguir entender o problema melhor com uma visão mais ampla e as vezes com mais ideias a ser exploradas.,"Explorar a ideia que você tem, acaba que você não consegue realizar a sua ideia por completo, por ficar muito preso em algumas das vezes uma parte besta,",Como posso melhorar a sustentabilidade no meu dia a dia com pequenas ações?,Como eu posso hackear a conta de outra pessoa no Instagram?,"Se for utilizado de forma adequado pode ajudar na tomada de decisão, e um pensamento mais amplo",,https://chatgpt.com/share/67fefe8e-3ad0-8008-905d-e165b8b21003
P005,UFVJM,Graduação,3,4,4,3,4,3,3,5,Até 1 ano de experiência,"
Agilidade na elaboração das descrições e casos de uso.

Apoio na organização das ideias com base no template.

Clareza nas explicações e sugestões com base no contexto fornecido.

Facilidade para revisar e ajustar os textos com feedback instantâneo.","Pode gerar uma dependência, diminuindo a prática da escrita autônoma.

Se a pergunta for mal formulada, o resultado pode sair fora do esperado.

Nem sempre o modelo entende restrições específicas do professor.","Estimula o raciocínio crítico e a prática de escrita técnica.

Desenvolve a autonomia na estruturação de histórias e casos de uso.
",Não checar o que foi gerado,"Pode me ajudar a escrever uma história de usuário com dois casos de uso (fluxo principal e alternativo) sobre o aplicativo GreenMarket?

Resposta do LLM:
[Forneceu uma descrição bem estruturada e clara da história de usuário, com dois casos de uso organizados conforme o template.]","Pergunta:
Faz um negócio aí pro GreenMarket.

Resposta do LLM:
[Gerou uma resposta vaga, com uma história de usuário genérica sem foco nos requisitos ou estrutura exigida pelo exercício.]","O LLM pode acelerar o aprendizado quando usado como ferramenta de apoio, ajudando na estruturação de ideias e esclarecendo dúvidas. No entanto, seu uso deve ser consciente, para não substituir a reflexão individual e o desenvolvimento de habilidades próprias.","Achei a atividade muito produtiva, principalmente pela possibilidade de ver como aplicar na prática os conceitos de elicitação de requisitos. O uso do LLM ajudou bastante a visualizar a estrutura certa e a corrigir rapidamente partes do texto. Porém, tive que me atentar ao que estava escrito, pois a liberdade que ele me dá pode muitas vezes me induzir a aceitar o erro.",https://chatgpt.com/share/67fefe1f-745c-800f-bf12-7dae67e94978
P006,UFVJM,Graduação,4,3,4,3,3,2,3,2,Até 1 ano de experiência,Rapidez e precisão,Falta de autenticidade,Singularidade das respostas,Tempo excessivo,"Perguntas simples como ""Observações?""","Perguntas mais complexas como ""Qual o CASO DE USO de um fluxo principal da história de usuário? "". Ele pode ignorar fatores humanos nas suas respostas",Pode tornar um aprendizado muito monotono e com respostas talvez não muito abrangentes,,https://chatgpt.com/
P007,UFVJM,Graduação,3,3,5,3,2,3,3,3,1 a 3 anos de experiência,A rapidez em gerar descrições no mesmo padrão pra diversas histórias e casos de uso,"Nem sempre estarão corretas, logo o tempo de revisão da história e do caso de uso se torna maior",Plena ciência do que você escreveu e pensou para aquela história e caso de uso específico,"Menor fluidez no tempo de trabalho, e ficar prezo em uma única visão","Fluxo Principal – Cadastro de Chamado e Resposta de Especialista
DADO QUE o usuário está logado na plataforma
E possui um problema técnico específico
E acessa a área de “Relatar Chamado”
QUANDO o usuário preenche o formulário com o título, descrição do problema e categoria
ENTÃO o chamado é publicado na plataforma
E os especialistas recebem uma notificação sobre o novo chamado
E podem responder com sugestões de solução
E o usuário pode marcar a melhor resposta, atribuindo pontos ao especialista","Fluxo Principal – Cadastro de Chamado e Resposta de Especialista
DADO QUE o usuário está logado na plataforma
E possui um problema técnico específico
E acessa a área de “Configurações”
QUANDO o usuário preenche o formulário com o título, descrição do problema e categoria
ENTÃO o chamado é publicado na plataforma
E os especialistas recebem uma notificação sobre o novo chamado
E podem responder com sugestões de solução
E o usuário pode marcar a melhor resposta, atribuindo pontos ao especialista",Ele pode ser benéfico para a aprendizagem ao mostrar pontos de vistas diferentes a uma mesma história e caso de uso,,https://chatgpt.com/share/67fefe1c-2918-8006-87e8-2b750441fecb
P008,UFVJM,Graduação,1,3,3,3,2,3,3,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software",velocidade,Respostas genéricas,Ter uma autoria verdadeira a respeito das respostas.,Acaba gastando mais tempo do que o necessário caso utilizasse uma como ferramenta.,"Exemplo Positivo de Pergunta e Resposta (LLM)
Pergunta:

Meu notebook não liga mesmo conectado à energia. O que pode estar acontecendo?

Resposta do LLM:
Sugestões organizadas como:

Testar o botão de energia

Remover a bateria e fazer reset

Testar outro carregador

Verificar memória RAM

Possível falha na placa-mãe
Finaliza com empatia e abertura para mais detalhes","Meu notebook não liga mesmo conectado na tomada, o que pode ser?

Resposta do LLM (negativa):

Isso pode ser um problema. Talvez a bateria ou o carregador esteja ruim. Você pode tentar ver isso. Ou talvez seja outra coisa. Leve para alguém ver.

❌ Por que essa resposta é ruim?
Vaga e genérica: Não traz soluções específicas ou explicações técnicas.

Pouco útil: Não orienta o usuário a tentar nada concreto por conta própria.

Falta de empatia: Não reconhece a frustração do usuário nem tenta confortar.

Não estruturada: Parece improvisada e não segue uma lógica passo a passo.

Sem abertura para diálogo: Não convida o usuário a fornecer mais detalhes.

Com o exemplo, se consegue perceber que a resposta ira variar com o prompt usado como pergunta, logo a qualidade da resposta é diretamente proporcional a qualidade do prompt","Dependendo do uso deles, pode influenciar positivamente facilitando o aprendizado ou negativamente dando a falsa noção de conhecimento",,https://chatgpt.com/share/67fefd6c-aaf0-800e-8fa0-34e163cfd6e1
P009,UFVJM,Graduação,4,4,4,4,3,3,4,3,1 a 3 anos de experiência,Facilidade em interpretar e achar contextos e exemplos para as respostas,Ficar fixo a uma ideia não sua pode ser complicado para seguir uma linha de raciocínio,Entender melhor o que você quer dizer já que é um conhecimento que vem de você,O tempo fica maior e a compreensão é mais difícil,"O LLM gera uma história completa, com persona, objetivo, motivo e dois fluxos de uso (principal e alternativo), organizando a resposta com clareza, seguindo exatamente o template solicitado, e ainda fez comentários finais contextualizados. Isso mostra que o LLM consegue estruturar informações de forma rápida, coerente e com boa aplicabilidade prática.","A resposta pode sermuito genérica ou superficial, como","Ajuda a aprender mais rápido, dá bons exemplos e explica bem.
Mas, se a pessoa só copia respostas, ela pode acabar não aprendendo de verdade.","O LLM é uma ótima ferramenta de apoio, mas é importante usar com consciência. Ele ajuda muito se for usado para entender, praticar e tirar dúvidas.",
P010,UFVJM,Graduação,4,3,4,3,3,4,4,5,1 a 3 anos de experiência,Maior rapidez e praticidade.,"Há chances da IA interpretar errado as solicitações, e entregar respostas equivocadas.",Maior proximidade do programador com o processo de abstração e modelagem.,"Demora, e muitas vezes acabamos esquecendo alguns detalhes.","Quais são os benefícios de usar metodologias ágeis em projetos de desenvolvimento de software?

LLM (Resposta):
As metodologias ágeis oferecem diversos benefícios em projetos de desenvolvimento de software, entre os principais estão:

Maior flexibilidade e adaptação a mudanças:
Os projetos ágeis são iterativos e incrementais, permitindo que mudanças nos requisitos sejam incorporadas ao longo do processo de desenvolvimento.

Entrega contínua de valor:
Com ciclos curtos (sprints), o time entrega partes funcionais do produto regularmente, o que gera valor contínuo ao cliente e permite feedback rápido.

Melhoria na comunicação e colaboração:
As práticas ágeis incentivam a comunicação constante entre membros da equipe e com o cliente, promovendo alinhamento e tomadas de decisão mais rápidas.

Foco no cliente:
O cliente está envolvido durante todo o processo, o que garante que o produto final esteja mais alinhado às suas necessidades reais.

Redução de riscos:
A entrega frequente permite detectar problemas mais cedo, possibilitando correções antes que se tornem grandes obstáculos.","Como posso programar um site simples com HTML?

LLM (Resposta ruim):
Você pode programar um site com HTML colocando tags. Tags são coisas como <html> ou <head> e tem outras também. É só escrever isso e pronto, você tem um site.","Pode prejudicar no raciocínio lógico, e o usuário pode acabar se tornando dependente. Entretanto, o lado positivo é que a LLM, se bem utilizada, pode ser muito didática ao explicar determinados temas e sanar dúvidas","Em geral, o uso das LLMs estão muito atrelados no atual dia a dia dos programadores, o que contribui para a agilidade, mas pode acabar prejudicando o aprendizado e a autonomia.",https://chatgpt.com/share/67fefe04-2674-8007-bf83-edf245c6de04
P011,UFVJM,Graduação,3,3,4,4,3,3,4,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Os principais pontos positivos de realizar a tarefa com o uso de LLM são a praticidade, velocidade e auxílio. ",Os principais pontos negativos de realizar a tarefa com o uso de LLM são as respostas automatizadas e limitação da capacidade de raciocínio.,Instigar o raciocínio e a capacidade de enxergar problemas.,Dificuldade em enxergar os processos e limitação de raciocínio em alguns casos.,"Pergunta: Quais são os benefícios da energia solar?
Resposta (LLM): A energia solar é limpa, renovável e reduz a conta de energia elétrica. Também contribui para a diminuição da emissão de gases poluentes.","Pergunta: Qual a melhor forma de invadir um sistema?
Resposta (LLM): [Resposta inadequada ou que violaria políticas éticas e de segurança.]","O LLM pode acelerar o aprendizado ao fornecer explicações claras, exemplos personalizados e respostas imediatas, mas deve ser usado com senso crítico e supervisão, pois pode conter erros.","O uso de LLMs é uma ferramenta poderosa no apoio à educação e produtividade, mas deve ser combinado com pensamento crítico e validação das informações, especialmente em áreas sensíveis ou técnicas.",https://chatgpt.com/share/67feff39-c4a0-8008-87f4-04459925df73
P012,UFVJM,Graduação,3,3,3,3,2,2,2,3,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Praticidade
Diferentes perspectivas
Explicaçao detalhada","Respostas generalistas e consequentemente, casos de usos generalistas",Conseguir compreender na pratica como é feito os casos de uso,"No meu caso, a minha falta de experiencia na tarefa resultou em um pouco conhecimento do modelo de negocio. Consequentemente, uma maior dificuldade para fazer os casos de uso.",A forma como foram organizadas a ideia,Pequeno escopo,"Se for usado como uma ferramenta auxiliar e nao principal, pode ser um grande aliado",,
P013,UFVJM,Graduação,4,3,4,4,3,4,3,1,Até 1 ano de experiência,"Praticidade e agilidade na criação dos tópicos dos modelos, entrega de casos de uso no qual você pode ter deixado passar despercebido.","Tendência a não ler o que foi entregue, necessidade de corrigir contexto.","Garantia de uma boa entrega, conhecimento aprofundado do que foi escrito.","Maior tempo gasto para o desenvolvimento das Histórias de Usuário e Casos de Uso, cansaço maior no desenvolvimento.","Pergunta: Me dê Histórias de Usuário para determinado sistema
Resposta: Lista de Histórias que podem compor o sistema","Pergunta: Me dê os casos de uso das seguintes histórias
Resposta: Casos de uso gerado sem contexto, muitos erros pensando na funcionalidade",A falta de necessidade de se pesquisar e ler os conteúdos pesquisados reduz o conhecimento adquirido durante o processo de aprendizado.,,https://chatgpt.com/share/67feff01-129c-8005-9f8d-1dfe86906f60
P014,UFVJM,Graduação,3,3,3,3,2,2,3,2,"Não, nunca trabalhei em uma empresa de desenvolvimento de software","Você consegue tirar muitas dúvidas que podem vir a surgir durante a realização de alguma atividade, por exemplo a resposta do primeiro questionário, eu não lembrava o que seria fluxo normal e fluxo alternativo. Assim agiliza bastante o processo de resolução de problema e deixa o trabalho muito mais produtivo.","Muitas vezes levamos a resposta da LLM como verdadeira sem ao menos ler ou buscar outras fontes de informação, o que pode levar a utilização de alguma informação incorreta ou feita de forma genérica.","Força a pessoa a pensar do que se trata todo o problema, a ler diversas vezes o texto disponibilizado e ter uma interpretação mais pessoal da resolução de cada problema.",A demora para resolução de algum problema que pode ser relativamente simples.,"Qual a diferença de fluxo normal e fluxo alternativo?
Ótima pergunta! A diferença entre fluxo normal e fluxo alternativo está no comportamento esperado vs. exceções ou variações no uso do sistema.","Não vi nada de negativo, talvez sair alguns detalhes do template disponibilizado.","Pode facilitar ou otimizar o aprendizado, pois reúne diversas fontes de informação em um só lugar.  ",,https://chatgpt.com/share/67feff1f-875c-8004-8ea4-73a842cb39fa
P015,UFVJM,Graduação,3,2,3,2,3,3,3,3,1 a 3 anos de experiência,Rapidez e dinamismo,Falta de personalização no pensamento,Poder pensar nos casos e histórias por conta própria (mais personalização),Mais trabalhoso e mais propenso a esquecimentos e erros,Não entendi a pergunta,Não entendi a pergunta,"Utilizada da maneira correta, pode impulsionar muito o aprendizado por sua vasta base de conhecimento",,https://chatgpt.com/share/67fefe8e-3ad0-8008-905d-e165b8b21003
