code,institution,prog_oo,soft_arch,web_tech,db_systems,sw_project_mgmt,requirements,agile_methods,llm_usage,experience
P001,U1,3,3,3,3,3,3,3,3,Up to 1 year
P002,U1,3,3,3,3,2,3,3,3,Up to 1 year
P003,U1,1,2,4,4,2,2,3,4,No experience
P004,U1,3,3,3,3,2,3,3,3,No experience
P005,U1,3,4,4,3,4,3,3,5,Up to 1 year
P006,U1,4,3,4,3,3,2,3,2,Up to 1 year
P007,U1,3,3,5,3,2,3,3,3,1 to 3 years
P008,U1,1,3,3,3,2,3,3,3,No experience
P009,U1,4,4,4,4,3,3,4,3,1 to 3 years
P010,U1,4,3,4,3,3,4,4,5,1 to 3 years
P011,U1,3,3,4,4,3,3,4,3,No experience
P012,U1,3,3,3,3,2,2,2,3,No experience
P013,U1,4,3,4,4,3,4,3,1,Up to 1 year
P014,U1,3,3,3,3,2,2,3,2,No experience
P015,U1,3,2,3,2,3,3,3,3,1 to 3 years
P016,U1,3,3,3,2,2,2,3,1,No experience
P017,U1,4,2,4,4,2,2,2,4,No experience
P018,U1,3,2,2,3,2,2,2,3,No experience
P019,U1,4,3,3,4,3,3,3,4,Up to 1 year
P020,U2,3,2,3,3,2,2,2,2,No experience
P021,U2,4,3,4,4,4,4,4,3,Up to 1 year
P022,U2,4,2,4,4,2,2,2,2,No experience
P023,U2,3,2,3,4,3,3,2,1,No experience
P024,U2,4,3,4,4,3,3,3,3,No experience
P025,U2,4,2,3,4,3,3,3,2,No experience
P026,U2,3,3,3,3,2,2,2,2,No experience
P027,U2,4,3,4,4,3,3,3,2,1 to 3 years
P028,U2,4,4,4,4,3,3,4,5,No experience