code,task_id,llm,description,main_flow,alt_flow,time,grad_phd,note01,note02
P010,2 - GreenMarket,Com o uso de LLM,"Título da História de Usuário:
Assinar Entrega Semanal de Produtos Orgânicos

DESCRIÇÃO
EU COMO: Consumidor interessado em produtos orgânicos
GOSTARIA DE: Assinar uma entrega semanal automática de frutas e verduras
PARA: Receber produtos frescos regularmente, sem precisar realizar pedidos manuais toda semana.","CASO DE USO (Fluxo Principal)
DADO QUE: Estou logado no aplicativo
E: Já cadastrei um endereço de entrega
E: Escolhi meus produtos orgânicos favoritos
QUANDO: Confirmo a opção de assinatura semanal na tela de pagamento
ENTÃO: O sistema agenda automaticamente a entrega semanal
E: Exibe um resumo da assinatura na área “Minhas Assinaturas”
E: Envia uma notificação por e-mail e no app com os detalhes da próxima entrega","CASO DE USO (Fluxo Alternativo)
DADO QUE: Estou logado no aplicativo
E: Ainda não cadastrei um endereço de entrega
QUANDO: Tento confirmar a assinatura semanal na tela de pagamento
ENTÃO: O sistema exibe um alerta solicitando o cadastro de endereço
E: Redireciona para a tela de cadastro de endereço antes de finalizar a assinatura",2,10,,
P011,2 - GreenMarket,Com o uso de LLM,"Título: Assinatura Semanal de Produtos Orgânicos

DESCRIÇÃO
EU COMO: Consumidor do aplicativo GreenMarket
GOSTARIA DE: Assinar um plano de entrega semanal de produtos orgânicos
PARA: Receber alimentos frescos em casa com praticidade e regularidade","DADO QUE: Estou logado no aplicativo
E: Tenho acesso ao catálogo de produtos e planos disponíveis
E: Escolhi um plano de assinatura semanal
QUANDO: Confirmo a assinatura e o endereço de entrega
ENTÃO: A assinatura é ativada
E: Recebo notificações semanais sobre a entrega
E: Os produtos são entregues no endereço cadastrado automaticamente","DADO QUE: Estou logado no aplicativo
E: Tento assinar um plano semanal
E: Ainda não cadastrei um endereço de entrega
QUANDO: Clico em “Confirmar assinatura”
ENTÃO: O sistema exibe um alerta solicitando o cadastro de endereço
E: Sou redirecionado para preencher o endereço
E: Após salvar, posso concluir a assinatura normalmente",3,10,,
P012,2 - GreenMarket,Sem o uso de LLM,"EU COMO: Consumidor
GOSTARIA DE: realizar uma assinatura de produtos organicos
PARA: receber produtos de qualidade em minha casa de forma simplificada","DADO QUE: o consumidor insere as credencias e loga no app
E: acessa a aba de assinatura
E: escolhe os produtos desejados
QUANDO: confirma a assinatura
ENTÃO: essa assinatura é registrada no sistema","DADO QUE: o consumidor insere as credencias e loga no app
E: acessa a aba de assinatura
E: não insere todos os dados obrigatórios para a compra
QUANDO: tenta confirmar a assinatura
ENTÃO: é exibida uma mensagem de erro no sistema",11,10,,
P013,2 - GreenMarket,Sem o uso de LLM,"DESCRIÇÃO
EU COMO: usuário
GOSTARIA DE: ver o histórico dos meus pedidos
PARA: ver informações sobre o que foi comprado, quanto foi gasta, de quem foi comprado, etc.","CASOS DE USO
DADO QUE: eu esteja logado no aplicativo
QUANDO: eu clicar no botão de histórico
ENTÃO: o sistema me mostrará uma tabela com todas as compras recentes feitas por mim pelo aplicativo","FLUXO ALTERNATIVO
DADO QUE: eu esteja logado no aplicativo
E: na tela de histórico do aplicativo
QUANDO: eu clicar no botão de datas
E: definir um intervalo de tempo no calendário
ENTÃO: o sistema irá filtrar o conteúdo mostrado na tabela",9,5,Não entendeu corretamente o conceito de fluxo alternativo.,
P014,2 - GreenMarket,Com o uso de LLM,"Título: Geolocalização e Interação com Produtores Orgânicos

DESCRIÇÃO:
EU COMO: Consumidor consciente e engajado na alimentação saudável
GOSTARIA DE: localizar produtores orgânicos próximos e interagir com eles pelo app
PARA: garantir a origem dos alimentos, esclarecer dúvidas sobre cultivo e fazer escolhas mais informadas
","CASO DE USO (Fluxo principal):

DADO QUE: o usuário está logado no aplicativo e permitiu o acesso à sua localização
E há produtores cadastrados próximos à localização do usuário
QUANDO: o usuário acessa o mapa interativo do aplicativo
ENTÃO: o sistema exibe os produtores orgânicos mais próximos, com detalhes sobre seus produtos, avaliações e botão de chat para contato direto","CASO DE USO (Fluxo alternativo):

DADO QUE: o usuário está logado no aplicativo
E não há produtores cadastrados próximos à localização informada
QUANDO: o usuário tenta acessar o mapa de produtores
ENTÃO: o sistema exibe uma mensagem informando que não há produtores disponíveis na região, oferece a opção de expandir o raio de busca e sugere que o usuário ative notificações para ser avisado quando novos produtores forem cadastrados na área",3,10,,
P015,2 - GreenMarket,Sem o uso de LLM,"EU COMO: Consumidor de produtos orgânicos
GOSTARIA DE: comprar uma assinatura para entrega semanal
PARA: receber produtos de qualidade toda semana","Contratação de assinatura para usuário sem assinatura ativa
DADO QUE: Eu esteja logado no aplicativo
E clique em contratar assinatura
QUANDO: eu inserir meus dados 
ENTÃO: minha assinatura se tornará ativa","Contratação de assinatura para usuário com assinatura já ativa
DADO QUE: Eu esteja logado no aplicativo
E clique em contratar assinatura
QUANDO: eu for direcionado para a página de inserção de dados
ENTÃO: serei informado que já possuo uma assinatura ativa
E o sistema não registrará uma nova assinatura",7,10,,
P016,2 - GreenMarket,Sem o uso de LLM,"DESCRIÇÃO Fazer uma nova assinatura de recebimento de entregas semanais.
EU COMO: Consumidor
GOSTARIA DE: Fazer uma assinatura de entrega semanais
PARA: Facilitar a compra de verduras e frutas rotineiramente ","CASOS DE USO Fluxo principal 
DADO QUE: o usuário está logado
E … E … acessa a aba de assinaturas
QUANDO: pressionar botão de nova assinatura, e existem possíveis entregadores para o endereço
ENTÃO: realiza cadastro de nova assinatura para o consumidor","CASOS DE USO Alternativo
DADO QUE: o usuário está logado
E … E … acessa a aba de nova assinatura
QUANDO: aperta sim para nova assinatura, e não existem entregadores disponíveis para a localidade
ENTÃO: informa que no momento não existem entregadores disponíveis na localidade selecionada, e pergunta se deseja alterar a localidade",10,10,"Conceito correto, apesar de problema no template (E... E...)",
P017,2 - GreenMarket,Com o uso de LLM,"Título: Assinar entrega semanal de produtos orgânicos
DESCRIÇÃO
EU COMO: Consumidor consciente que busca alimentos saudáveis e sustentáveis
GOSTARIA DE: Assinar uma entrega semanal de produtos orgânicos de produtores locais
PARA: Receber alimentos frescos em casa de forma prática e recorrente, apoiando a agricultura local","CASO DE USO – Fluxo Principal: Assinatura semanal bem-sucedida
DADO QUE: Estou logado no aplicativo
E: Tenho um endereço de entrega cadastrado
E: Possuo uma forma de pagamento válida registrada
QUANDO: Acesso a opção de assinatura no menu principal e escolho o plano de entrega semanal com os produtos desejados
ENTÃO: O sistema confirma a assinatura, agenda as próximas entregas e envia uma notificação de confirmação ao usuário","CASO DE USO – Fluxo Alternativo: Falha na assinatura por falta de método de pagamento
DADO QUE: Estou logado no aplicativo
E: Tenho um endereço de entrega cadastrado
E: Não possuo uma forma de pagamento válida registrada
QUANDO: Tento confirmar a assinatura semanal de produtos
ENTÃO: O sistema exibe uma mensagem de erro solicitando o cadastro de uma forma de pagamento válida e impede a finalização da assinatura até que o requisito seja cumprido",6,10,,
P018,2 - GreenMarket,Sem o uso de LLM,"Título: Avaliação de produtos

DESCRIÇÃO
EU COMO: Cliente
GOSTARIA DE: Avaliar um produto comprado
PARA: Facilitar na compra dos demais usuários","CASOS DE USO Fluxo principal
DADO QUE: O cliente comprou um produto
E recebeu o produto
QUANDO: Ele avalia um produto
ENTÃO: A avaliação fica disponível na plataforma para os demais usuários","CASOS DE USO Fluxo Alternativo
DADO QUE: O cliente não comprou um produto
E tenta avaliar o produto
QUANDO: A avaliação for enviada
ENTÃO: Vai aparecer uma mensagem de erro falando que ele não comprou o produto para poder avaliar",7,10,,
P019,2 - GreenMarket,Com o uso de LLM,"Título: Assinatura semanal de produtos orgânicos

DESCRIÇÃO
EU COMO: Consumidor interessado em alimentação saudável
GOSTARIA DE: Assinar uma entrega semanal de produtos orgânicos
PARA: Receber em casa alimentos frescos e de origem confiável sem precisar fazer pedidos manuais toda semana","Fluxo Principal – Assinar entrega semanal de produtos

DADO QUE: Estou logado no aplicativo
E já adicionei produtos ao meu carrinho
E estou na tela de finalização de compra
QUANDO: seleciono a opção “Ativar assinatura semanal” e confirmo o pagamento
ENTÃO: o sistema agenda automaticamente a entrega dos mesmos produtos para as próximas semanas
E envia uma notificação antes de cada nova cobrança","Fluxo Alternativo – Alterar produtos da assinatura antes da próxima entrega

DADO QUE: Tenho uma assinatura semanal ativa
E recebi uma notificação sobre a próxima entrega
QUANDO: acesso a assinatura e modifico os itens antes da data limite
ENTÃO: o sistema atualiza os produtos que serão enviados naquela semana
E confirma a alteração via e-mail e notificação no app",6,5,Não entendeu corretamente o conceito de fluxo alternativo.,
P025,1 - TechFix,Com o uso de LLM,"Titulo: Usuário com problemas técnicos, que serão cadastrados em um chamado

DESCRIÇÃO:
EU COMO: Usuário com problema técnico
GOSTARIA DE: Criar um chamado descrevendo meu problema
PARA: Receber sugestões de solução de especialistas da plataforma","DADO QUE: Estou logado na plataforma
E: Acesso a página de criação de chamado
E: Preencho corretamente os campos obrigatórios (título, descrição, categoria)
QUANDO: Clico em ""Enviar Chamado""
ENTÃO: O chamado é registrado no sistema
E: Fico disponível para receber notificações quando especialistas responderem
E: O chamado aparece na lista pública para especialistas visualizarem","DADO QUE: Estou logado na plataforma
E: Acesso a página de criação de chamado
E: Deixo de preencher algum campo obrigatório
QUANDO: Clico em ""Enviar Chamado""
ENTÃO: O sistema exibe uma mensagem de erro indicando os campos que precisam ser preenchidos
E: O chamado não é enviado até que todas as informações obrigatórias sejam completadas",5,10,,
P027,1 - TechFix,Sem o uso de LLM,"DESCRIÇÃO
EU COMO: Usuário 
GOSTARIA DE: Avaliar respostas
PARA: classificar aquela resposta como a melhor","CASOS DE USO (Fluxo principal)
DADO QUE: Sou um usuário
E quero avaliar uma resposta
QUANDO: clicar em 'like'
ENTÃO: a resposta recebera a minha avaliação positiva","CASOS DE USO (Fluxo Alternativo)
DADO QUE: Sou um usuário não autenticado
E quero avaliar uma resposta
QUANDO: clicar em 'like'
ENTÃO: o sistema exibe uma mensagem 'faça o login para efetuar a avaliação'  ",8,5,Deixou de explicitar no fluxo principal que o usuário deve estar autenticado para estar de acordo com o fluxo alternativo.,
P023,1 - TechFix,Com o uso de LLM,"TechFix – Plataforma de Suporte Técnico Colaborativo: Uma startup lança um sistema onde usuários podem relatar problemas técnicos, e especialistas podem sugerir soluções. O sistema permite que os usuários votem nas melhores respostas, e os especialistas ganham pontos conforme suas soluções são bem avaliadas.","EU COMO: Especialista cadastrado na plataforma
GOSTARIA DE: Sugerir soluções para problemas relatados por usuários
PARA: Compartilhar conhecimento técnico e ajudar a resolver chamados","FLUXO PRINCIPAL 
DADO QUE: Estou cadastrado como especialista na plataforma
E: Um usuário abriu um chamado descrevendo um problema técnico
E: Eu sugeri uma solução para o problema
QUANDO: Minha resposta é bem avaliada por outros usuários
ENTÃO: Recebo pontos no sistema de pontuação
E: Minha posição no ranking de especialistas é atualizada automaticamente
E: Sou notificado sobre a boa avaliação recebida


FLUXO ALTERNATIVO
DADO QUE: Estou cadastrado como especialista na plataforma
E: Um usuário abriu um chamado descrevendo um problema técnico
E: Eu sugeri uma solução para o problema
QUANDO: Minha resposta recebe avaliações negativas dos usuários
ENTÃO: Não recebo pontos no sistema de pontuação
E: Sou notificado com um feedback indicando que minha resposta foi mal avaliada",8,0,Não colocou as informações nos campos adequados.,
P021,1 - TechFix,Sem o uso de LLM,"TÍTULO: Sistema de pontuações 
DESCRIÇÃO: O usuário pontua as respostas fornecidas pelos especialistas
EU COMO: Usuário autenticado no sistema
GOSTARIA DE: Ver as soluções fornecidas pelos especialistas
PARA: Pontuar a melhor solução","DADO QUE: Eu estou autenticado no sistema
E Possuo uma conta ativa
QUANDO: Tento visualizar as soluções fornecidas pelos especialistas
ENTÃO: O sistema permite 
E pontuo as soluções dos especialistas","DADO QUE: Eu não estou autenticado no sistema
E Não possuo um login 
QUANDO: Tento visualizar as soluções fornecidas pelos especialistas
ENTÃO: O sistema não permite 
E me redireciona para a tela de cadastro",9,10,,
P024,1 - TechFix,Sem o uso de LLM,"TITULO: Cadastro de Chamadas
DESCRIÇÃO
EU COMO: Usuário do Sistema.
GOSTARIA DE: Relatar um problema técnico.
PARA: Ser respondido por especialistas com soluções.","CASOS DE USO Usuário autenticado fazendo uma chamada.
DADO QUE: Estou logado no Sistema como usuário.
E Já descrevi meu problema técnico.
QUANDO: Enviar o relato.
ENTÃO: Recebo mensagem de confirmação","CASOS DE USO: Usuário não autenticado fazendo uma chamada.
DADO QUE: Não estou logado no Sistema como usuário.
E Descrevi meu problema técnico
QUANDO: Enviar o relato.
ENTÃO: Recebo uma mensagem para criar uma conta.",11,10,,
P026,1 - TechFix,Com o uso de LLM,"Título: Abertura de Chamado Técnico por Usuário Comum

DESCRIÇÃO
EU COMO: Usuária com dificuldade técnica no computador
GOSTARIA DE: registrar um chamado com detalhes do meu problema
PARA: receber ajuda rápida e adequada de especialistas na plataforma","DADO QUE: estou logada na plataforma TechFix
E preenchi os campos obrigatórios do formulário de chamado
E selecionei a categoria adequada do problema
QUANDO: clico no botão “Enviar Chamado”
ENTÃO: o chamado é publicado na plataforma
E especialistas são notificados sobre a nova solicitação
E o chamado fica visível na minha conta para acompanhamento","DADO QUE: estou logada na plataforma TechFix
E tentei enviar um chamado sem preencher todos os campos obrigatórios
QUANDO: clico no botão “Enviar Chamado”
ENTÃO: o sistema exibe uma mensagem de erro
E destaca os campos que precisam ser corrigidos antes de permitir o envio",14,10,,
P020,1 - TechFix,Sem o uso de LLM,"DESCRIÇÃO: Cadastro de chamados, para análise dos especialistas, feitas pelos usuários do sistema
EU COMO: Usuário do sistema
GOSTARIA DE: Verificar se meu problema já foi relatado e respondido anteriormente
E se não for o caso, registrar uma chamada para informar sobre um problema técnico que possuo
PARA: Que um especialista possa analisar o problema e me informar uma possível solução","CASOS DE USO (Fluxo principal - Problema já relatado)
DADO QUE: Eu sou um usuário do sistema
E possuo um problema técnico
QUANDO: Eu verifico no sistema a existência de um relato parecido registrado anteriormente
E encontro um semelhante
E sua resposta foi bem avaliada
ENTÃO: Eu aplico a solução informada
E avalio a resposta posteriormente de acordo com o resultado","CASOS DE USO (Fluxo alternativo - Problema não relatado antes)
DADO QUE: Eu sou um usuário do sistema
E possuo um problema técnico
QUANDO: Eu verifico no sistema a existência de um relato parecido registrado anteriormente
E não encontro nenhum
ENTÃO: Eu registro um chamado, informando as especificações do problema
E o sistema deve disponibilizar esse chamado para que os especialistas possam analisar e responder",14,10,,
P022,1 - TechFix,Sem o uso de LLM,"DESCRIÇÃO
EU COMO: <Especialista> 
GOSTARIA DE: <sugerir uma solução para o problema de algum usuário>
PARA: <ganhar pontos>

","
CASOS DE USO (Fluxo Principal)
DADO QUE: Sou um especialista
E: quero solucionar o problema de um usuário
QUANDO: entro no sistema e vejo uma dúvida ou problema
E: seleciono o problema que sei resolver
ENTÃO: resolvo o problema para o usuário e recebo meus pontos.","
CASOS DE USO (Fluxo Alternativo)
DADO QUE: Sou um usuário
E: quero relatar um problema técnico 
QUANDO: entro no sistema
E: percebo que não estou cadastrado
ENTÃO: faço meu cadastro para relatar meu problema
",15,5,O fluxo alternativo não corresponde ao fluxo principal.,
P028,1 - TechFix,Com o uso de LLM,"Relato de Problema Técnico e Resolução Colaborativa

DESCRIÇÃO
EU COMO: Usuário da plataforma TechFix
GOSTARIA DE: Relatar um problema técnico e obter uma solução rápida e eficaz
PARA: Minimizar o impacto do problema no meu trabalho e aprender com a solução apresentada
","CASO DE USO – Fluxo Principal
DADO QUE: O usuário identifica um problema técnico em seu dispositivo.
E ... Ele acessa a plataforma TechFix e seleciona a opção ""Relatar Problema"".
E ... Preenche os detalhes do problema, incluindo categoria, descrição e evidências (imagens ou logs).
QUANDO: O usuário envia o relato.
ENTÃO: O chamado é cadastrado, especialistas são notificados, e o usuário pode acompanhar as interações para a solução.","CASO DE USO – Fluxo Alternativo
DADO QUE: O usuário relata um problema técnico, mas esquece de incluir informações essenciais para o diagnóstico.
E ... O sistema detecta a falta de informações e solicita um complemento ao usuário.
QUANDO: O usuário adiciona os detalhes faltantes.
ENTÃO: O chamado é reavaliado, cadastrado corretamente, e os especialistas são notificados para iniciar a análise.",17,10,,
P024,2 - GreenMarket,Com o uso de LLM,"Título: Realizar Compra de Produtos Orgânicos
DESCRIÇÃO
EU COMO: Consumidor do GreenMarket
GOSTARIA DE: Comprar produtos orgânicos diretamente de pequenos produtores
PARA: Ter acesso a alimentos frescos e de qualidade, com garantia de origem","CASO DE USO (Fluxo Principal)
DADO QUE: O consumidor está logado no aplicativo
E: Existem produtos orgânicos cadastrados na plataforma
E: O consumidor selecionou os produtos desejados para compra
QUANDO: O consumidor confirmar a compra e escolher o método de pagamento
ENTÃO: O pedido será registrado no sistema
E: O consumidor receberá a confirmação da compra e a previsão de entrega","CASO DE USO (Fluxo Alternativo)
DADO QUE: O consumidor está logado no aplicativo
E: Existem produtos orgânicos cadastrados na plataforma
E: O consumidor selecionou os produtos desejados para compra
QUANDO: O consumidor optar pelo sistema de assinatura para entregas semanais
ENTÃO: O pedido será registrado no sistema como recorrente
E: O consumidor receberá a confirmação da assinatura e a data da primeira entrega",2,10,,
P027,2 - GreenMarket,Com o uso de LLM,"DESCRIÇÃO
EU COMO: Consumidor consciente que valoriza alimentos orgânicos e de origem conhecida
GOSTARIA DE: Assinar uma entrega semanal de produtos orgânicos de produtores locais
PARA: Garantir alimentos frescos, saudáveis e apoiar pequenos agricultores da minha região","CASOS DE USO(Fluxo Principal)
DADO QUE: Estou logado no aplicativo
E: Tenho meu endereço cadastrado
E: Tenho um método de pagamento válido vinculado à minha conta
QUANDO: Eu seleciono uma cesta orgânica disponível e clico em “Assinar entrega semanal”
ENTÃO: O sistema confirma a assinatura
E: Agenda a entrega semanal para meu endereço cadastrado
E: Exibe um resumo da assinatura na área “Minhas Assinaturas”","CASOS DE USO(Fluxo Alternativo)
DADO QUE: Estou logado no aplicativo
E: Tenho meu endereço cadastrado
E: Não tenho um método de pagamento cadastrado
QUANDO: Eu seleciono uma cesta orgânica e clico em “Assinar entrega semanal”
ENTÃO: O sistema exibe uma mensagem solicitando o cadastro de um método de pagamento
E: Redireciona para a tela de “Formas de Pagamento”",2,10,,
P020,2 - GreenMarket,Com o uso de LLM,"DESCRIÇÃO: Avaliação de Produtos por Consumidores após a Entrega
EU COMO: Consumidor que utiliza o GreenMarket
GOSTARIA DE: Avaliar os produtos que recebo após cada entrega
PARA: Ajudar outros consumidores com minhas opiniões e contribuir para a reputação dos produtores","CASO DE USO (Fluxo Principal)
DADO QUE: O consumidor já recebeu sua entrega
E: Está logado no aplicativo
E: A entrega consta como finalizada no histórico de pedidos
QUANDO: O consumidor acessa o histórico de pedidos e seleciona a opção de avaliar os produtos recebidos
ENTÃO: O sistema permite que ele atribua uma nota e escreva um comentário sobre cada item
E: A avaliação é registrada e exibida na página do produto e do produtor","CASO DE USO (Fluxo Alternativo)
DADO QUE: O consumidor recebeu a entrega
E: Está logado no aplicativo
E: A entrega consta como finalizada no histórico de pedidos
QUANDO: O consumidor tenta avaliar um produto, mas ainda não se passaram 24 horas desde a entrega
ENTÃO: O sistema exibe uma mensagem informando que a avaliação estará disponível após esse período
E: A opção de avaliação permanece desabilitada até que o tempo mínimo seja cumprido",3,10,,
P022,2 - GreenMarket,Com o uso de LLM,"Assinar Entregas Semanais de Produtos Orgânicos
EU COMO: consumidor preocupado com alimentação saudável
GOSTARIA DE: assinar um plano de entregas semanais de produtos orgânicos
PARA: receber em casa alimentos frescos diretamente de produtores confiáveis sem precisar fazer pedidos manuais toda semana","DADO QUE: o usuário está autenticado no aplicativo
E: tem uma conta com endereço de entrega cadastrado
E: há produtores disponíveis com entregas na sua região
QUANDO: o usuário acessa a área de ""Assinaturas"" e seleciona um plano semanal de entrega
ENTÃO: o sistema ativa a assinatura, agenda a primeira entrega e exibe a confirmação para o usuário","DADO QUE: o usuário está autenticado no aplicativo
E: acessa a área de ""Assinaturas""
E: tenta selecionar um plano
QUANDO: o sistema verifica que não há produtores com entrega disponível para sua região
ENTÃO: o sistema exibe uma mensagem informando a indisponibilidade de entrega e sugere que o usuário ative uma notificação para ser avisado quando houver disponibilidade",3,10,,
P021,2 - GreenMarket,Com o uso de LLM,"TÍTULO: Visualizar a origem e os detalhes dos produtos orgânicos
DESCRIÇÃO
EU COMO: Consumidor preocupado com a procedência dos alimentos
GOSTARIA DE: Visualizar a origem e informações detalhadas sobre os produtos orgânicos que estou comprando
PARA: Garantir que estou adquirindo produtos de qualidade e com certificação de cultivo orgânico","Fluxo Principal – Visualizar origem e informações do produto
DADO QUE: Estou logado no aplicativo
E: Acessei a lista de produtos disponíveis para compra
E: Selecionei um item da lista (ex.: maçã orgânica)
QUANDO: Eu clico na opção ""Ver origem e detalhes"" do produto
ENTÃO: O aplicativo exibe as informações do produtor, localização da propriedade, tipo de cultivo, certificações e data da colheita","Fluxo Alternativo – Produto sem informações completas
DADO QUE: Estou logado no aplicativo
E: Acessei a lista de produtos disponíveis para compra
E: Selecionei um item da lista
QUANDO: Eu clico na opção ""Ver origem e detalhes"" do produto
ENTÃO: O aplicativo exibe uma mensagem informando que as informações detalhadas ainda não foram disponibilizadas pelo produtor
E: Oferece a opção de enviar uma mensagem ao produtor pelo chat integrado para solicitar as informações",3,10,,
P023,2 - GreenMarket,Sem o uso de LLM,"DESCRIÇÃO
EU COMO: usuário
GOSTARIA DE: acompanhar a origem dos produtos e ter acesso a sistema de assinatura
PARA: ter acesso a produtos a produtos orgânicos semanalmente
","CASOS DE USO (Geolocalização de produtores)
DADO QUE: gostaria de ver os produtores da minha região
E … E … digito a localização/endereço desejado
QUANDO: eu clico na opção buscar
ENTÃO: o sistema me mostra os produtores presentes na minha região","CASOS DE USO (Geolocalização de produtores)
DADO QUE: gostaria de ver os produtores da minha região
E … E … digito a localização/endereço desejado
QUANDO: eu clico na opção buscar
ENTÃO: o sistema me mostra produtores de uma localidade diferente da informada",8,0,O fluxo principal e alternativo estão iguais.,
P025,2 - GreenMarket,Sem o uso de LLM,"Título: 

DESCRIÇÃO
EU COMO: Consumidor assíduo do GreenMarket
GOSTARIA DE: Consultar meu histórico de pedidos 
PARA: Procurar um produto que comprei recentemente, utilizando um mecanismo de busca","Caso de Uso(Produto do histórico encontrado)

DADO QUE: Estou na tela principal do aplicativo, com login realizado
E aparece na tela a opção de visualizar meu histórico de pedidos
E clico na opção citada 
QUANDO: aparece-me uma lista, contendo todos os produtos, e na parte superior dessa lista, tem uma barra de pesquisa
ENTÃO: clico na barra, e digito pelo produto
E ele aparece, contendo informações sobre a última vez que este foi comprado, com a opção de eu visualizar o produto","Caso de Uso(Produto do histórico não encontrado)

DADO QUE: Estou na tela principal do aplicativo, com login realizado
E aparece na tela a opção de visualizar meu histórico de pedidos
E clico na opção citada 
QUANDO: aparece-me uma lista, contendo todos os produtos, e na parte superior dessa lista, tem uma barra de pesquisa
ENTÃO: clico na barra, e digito pelo produto
E aparece uma mensagem de produto não encontrado, com legenda, sugerindo-me procurar pelo produto sem ser no histórico",12,5,"No fluxo alternativo, poderia trocar por ""E: clico na barra ..."" e ""ENTÃO: aparece uma mensagem...""",
P026,2 - GreenMarket,Sem o uso de LLM,"HISÓRIA DO USUÁRIO: Avaliação de produtos adquiridos

EU COMO pessoa preocupada com a consumo de alimentos orgânicos e de origem e produção certificados
EU QUERO avaliar os produtos que adquiri na plataforma
PARA QUE o serviço dos produtores seja melhorado","CASO DE USO PRINCIPAL: Avaliação de produto adquirido

DADO que o usuário possui perfil cadastrado no sistema
E o usuário já tenha adquirido um determinado alimento de um produtor
E o usuário está logado no sistema
QUANDO o usuário acessa a página do produto; ou
QUANDO o usuário acessa a página do histórico de compras de um determinado produto adquirido
ENTÃO o sistema exibe uma caixa de avaliação
E o sistema apresenta as possíveis notas de avaliação de 1 estrela a 5 estrelas
E o sistema apresenta um campo de texto para escrita detalhada de avaliação","CASO DE USO ALTERNATIVO: Usuário sem histórico de aquisição do produto

DADO que o usuário possui perfil cadastrado no sistema
E o usuário não adquiriu um determinado alimento do produtor
E o usuário está logado no sistema
QUANDO o usuário acessa a página do produto
ENTÃO o sistema não exibe a caixa de avaliação do produto",15,10,,
P028,2 - GreenMarket,Sem o uso de LLM,"Título : Consumo de produtos orgânicos diretamente de pequenos produtores

Descrição :
EU COMO : Um consumidor de verduras e legumes e outros produtos orgânicos
GOSTARIA DE : Ter ciência da origem dos produtos que eu consumo E receber na comodidade de minha casa os produtos que eu mais gosto E tirar dúvidas com os produtores caso essa seja minha vontade quanto aos produtos que eu peço.
PARA : Que eu possa consumir produtos de qualidade e com padrões nos quais eu acedito serem importantes em relação aos alimentos que eu compro.
","CASO DE USO - FLUXO PRINCIPAL

DADO QUE : Eu abro o aplicativo E tenho interesse em fazer um pedido 
QUANDO : Navego pela página incial , são recomendados os produtores mais relevantes E bem avaliados E os mais próximos da minha geolocalização .
ENTÃO: Eu realizo meu pedido e os produtos que eu tiver selecionado chegarem no conforto de minha casa E com a qualidade assegurada pelos fornecedores encontrados no aplicativo.
","CASO DE USO - FLUXO ALTERNATIVO

DADO QUE : Eu selecionei um produto bem avaliado E esse produto chegou em minha casa E esse produto não confere com a qualidade assegurada e proposta pelo aplicativo.
QUANDO : Eu receber esse produto do entregador junto à um código de confirmação E eu não quiser esse produto , eu posso acessar o histórico de pedidos .
ENTÃO: Realizo uma avaliação quando o pedido for entregue OU solicitar a devolução do produto e ressarcimento do dinheiro pago. Confirmando uma experiência negativa e avaliando o Produtor .",18,10,,